"Table 211.40. Average base salary for full-time public elementary and secondary school teachers with a master's degree as their highest degree, by years of teaching experience and state: Selected years, 
              1993-94 through 2011-12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Amounts in current dollars. Standard errors appear in parentheses],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,"1993-94, total",,"1999-2000, total",,"2003-04, total",,2007-08,,,,,,,,2011-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois .........................,"42,400",(588),"47,770",(953),"54,110","(1,253)","61,330","(1,503)","54,000","(1,564)","62,120","(2,000)","74,440","(2,774)","64,670","(1,520)","49,240","(2,128)","57,230","(1,777)","66,400","(2,382)","80,040","(2,793)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana ..........................,"38,040",(292),"45,480",(413),"49,760",(670),"51,640",(686),"42,540","(1,153)","48,620",(940),"58,170",(663),"55,360",(735),‡,(†),"45,130","(1,200)","54,030",(964),"61,710",(713),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa ............................,"32,220",(571),"38,010",(494),"41,880",(608),"44,770",(829),"38,910","(1,185)","42,760","(1,476)","50,720","(1,048)","49,630","(1,509)",‡,(†),"41,940","(1,857)","50,390","(2,097)","54,620","(2,782)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas ...........................,"32,560",(314),"36,140",(428),"40,400",(755),"46,220",(955),"40,960","(1,517)","45,970","(1,086)","50,140","(1,484)","47,940","(1,090)","39,320","(1,346)","42,050",(720),"48,060","(1,498)","53,640","(1,505)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky .........................,"31,390",(396),"36,380",(310),"40,570",(457),"46,270",(578),"42,650",(753),"47,990","(1,152)","51,640",(865),"50,080",(751),"45,670","(2,116)","46,160",(926),"51,170",(890),"56,660","(1,577)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana .......................,"27,300",(262),"33,120",(806),"38,000",(558),"44,090",(854),‡,(†),"45,960","(1,038)","47,470",(974),"46,790",(986),"41,670","(1,542)","45,370","(1,813)","48,620","(1,518)","50,120","(1,474)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine ...........................,"33,060",(499),"38,770",(458),"42,460",(677),"44,820",(733),"38,910",(879),"44,900","(1,012)","51,920","(1,121)","48,890","(1,145)",‡,(†),"41,950",(855),"47,670","(1,417)","57,430","(1,506)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland ........................,"42,340",(406),"45,930","(1,055)","53,190","(1,307)","59,130","(1,422)","51,000",(935),"61,850","(2,802)","70,260","(1,942)",‡,(†),‡,(†),‡,(†),‡,(†),‡,(†),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Massachusetts ...................,"39,710",(254),"47,630",(370),"53,500",(714),"58,680",(894),"56,400",(909),"61,990","(1,359)","68,260","(1,309)","63,420","(1,002)","49,590","(1,455)","57,160","(1,596)","68,780","(1,743)","72,930","(1,583)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan .....................,"47,660",(488),"53,050",(651),"59,680",(906),"63,100","(1,116)","55,740","(1,769)","66,770","(1,384)","69,990","(1,458)","64,130",(962),"49,310","(2,782)","54,300","(1,556)","67,320",(973),"70,790","(1,314)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota ......................,"40,710",(552),"46,050",(674),"49,590",(731),"55,040",(730),"49,630","(1,222)","56,210",(854),"61,800","(1,140)","57,280",(700),"41,990","(1,043)","48,880",(663),"60,430",(867),"63,710","(1,022)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi .....................,"26,600",(200),"34,170",(326),"38,460",(479),"44,170",(617),"40,110",(537),"44,070",(804),"50,560",(800),"43,110",(767),"35,860",(749),"40,120","(1,743)","43,320",(839),"50,860","(1,612)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri .........................,"33,180",(625),"37,400",(747),"40,880",(761),"45,830","(1,020)","40,910","(1,050)","45,850","(1,271)","54,330","(2,126)","47,480",(989),"39,140",(866),"42,670","(1,387)","48,120","(1,070)","58,030","(2,307)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana ........................,"32,270",(423),"35,960",(728),"39,650",(885),"45,970",(908),"38,880",(945),"44,890","(1,205)","51,070","(1,477)","49,060","(1,393)",‡,(†),"40,780","(1,084)","46,860","(1,557)","59,680","(1,539)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska ........................,"30,290",(538),"33,540",(536),"39,980",(784),"40,410",(913),"37,630","(1,018)","38,970","(1,250)","43,230","(1,717)","47,260","(1,310)","38,860","(1,768)","45,100","(1,747)","48,940","(2,332)","50,350","(2,260)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada ..........................,"38,570",(353),"43,350",(429),"45,770","(1,083)","50,050",(906),"46,740",(879),"53,010",(870),"60,040","(1,967)","52,960","(1,713)","46,010","(3,037)","45,660",(889),"58,730","(2,641)","63,280","(3,831)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire ..................,"36,970",(505),"41,310",(689),"45,140",(977),"51,320","(1,002)","45,740","(1,303)","54,810","(1,529)","59,560","(1,107)","54,350","(1,169)",‡,(†),"47,350","(1,105)","57,990","(1,280)","62,890","(1,035)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey .......................,"50,950",(883),"57,410",(709),"60,200","(1,571)","62,580","(1,901)","53,220","(1,928)","67,160","(3,215)","80,980","(2,012)","68,910","(1,227)","55,460",(837),"59,580",(991),"72,090","(1,565)","84,500","(2,525)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico ......................,"28,400",(281),"35,570",(539),"40,100",(810),"47,200",(833),"44,370",(867),"48,820",(552),"53,070","(1,389)","47,360","(1,492)","36,690","(2,062)","44,860","(1,392)","49,130","(1,521)","54,000","(3,626)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York ........................,"47,440",(840),"53,130",(923),"56,650",(746),"64,300","(1,698)","58,220","(1,945)","67,170","(2,454)","80,650","(3,124)","73,180","(1,462)","55,150","(2,665)","66,800","(1,805)","75,110","(1,745)","88,500","(2,651)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina .................,"29,180",(306),"36,810",(542),"42,720",(641),"45,470","(1,321)","40,790","(1,676)","46,660","(1,906)","52,660","(2,098)","42,290","(1,149)","33,040",(986),"39,020","(2,022)","44,720",(925),"48,770","(2,288)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota ....................,"28,520",(730),"32,920",(559),"39,710",(789),"44,090",(885),‡,(†),"43,770","(1,598)","48,930","(1,550)","52,090","(1,471)",‡,(†),"42,980","(1,216)","52,300","(2,320)","59,770","(1,512)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio .............................,"37,960",(550),"43,420",(585),"50,090",(689),"55,680",(982),"48,500",(919),"58,170","(1,761)","62,850","(1,471)","57,430","(1,025)","42,140","(1,456)","49,130","(1,430)","61,170","(1,195)","65,140","(1,112)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma ........................,"28,510",(186),"31,990",(261),"34,580",(319),"40,220",(486),"35,670",(554),"39,410",(805),"44,270",(571),"39,490",(727),‡,(†),‡,(†),"39,040",(618),"44,610","(1,204)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon ...........................,"36,930",(471),"42,180",(588),"45,850",(647),"48,170",(914),"46,550",(995),"51,870","(1,035)","58,460","(1,540)","51,520",(936),"40,560",(849),"48,690","(1,090)","55,360","(1,611)","61,980","(1,726)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania .......................,"44,830",(816),"50,790","(1,027)","54,800",(925),"62,340","(1,667)","50,070","(1,727)","63,980","(2,392)","74,350","(2,967)","62,650","(1,408)","45,690","(1,689)","54,590","(1,250)","66,380","(1,908)","75,750","(2,039)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island .....................,"41,630",(303),"48,610",(204),"55,110",(909),"65,180","(1,137)",‡,(†),"67,800","(1,197)","69,980","(1,190)",‡,(†),‡,(†),‡,(†),‡,(†),‡,(†),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina ...................,"31,860",(208),"38,390",(528),"42,910",(625),"46,480",(529),"40,910","(1,264)","46,580",(681),"53,040",(886),"46,770",(966),"38,250","(1,216)","41,160","(1,787)","48,780",(833),"54,960","(1,263)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota ....................,"28,110",(449),"32,800",(443),"37,670",(801),"39,880",(764),‡,(†),"39,000","(1,084)","44,020","(1,223)","41,730",(910),‡,(†),‡,(†),"40,930","(1,311)","45,850","(1,655)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee .....................,"30,270",(350),"35,610",(414),"39,620",(543),"43,730",(694),"39,790","(1,019)","44,240","(1,189)","49,150",(957),"44,550",(984),"38,190",(945),"40,550",(959),"47,810","(2,184)","50,860","(1,962)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas ..........................,"31,610",(355),"40,280",(453),"43,370",(723),"47,520","(1,129)","45,010","(1,956)","47,640","(1,806)","51,960","(2,138)","49,390",(593),"44,280","(1,020)","46,330",(820),"50,100","(1,101)","56,060","(1,321)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah ...........................,"32,590",(277),"39,880",(586),"43,370",(636),"47,200","(1,092)","41,250",(773),"48,910",(900),"53,710","(1,703)","48,750","(1,772)","36,700","(1,709)","42,110","(1,544)","51,800","(1,074)","59,000","(1,201)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont .........................,"36,770",(594),"37,260",(668),"44,740",(926),"51,320",(987),"43,780","(1,568)","50,690","(1,464)","57,440","(1,337)","56,190","(1,158)",‡,(†),"49,830","(1,637)","54,630","(1,661)","64,330","(1,242)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia .........................,"33,740",(579),"40,230",(668),"43,860",(948),"50,910","(1,572)","42,370","(1,596)","50,890","(1,856)","63,400","(2,990)","51,130","(1,408)","42,350","(1,381)","45,680","(1,298)","52,040","(2,122)","60,370","(3,366)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington .......................,"38,270",(398),"43,160",(364),"47,970",(500),"51,800",(649),"46,380","(1,150)","54,290",(752),"59,140",(760),"57,670","(1,077)","43,240",(981),"50,330","(3,344)","60,160","(1,146)","64,280","(1,237)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Virginia ...................,"32,130",(195),"36,590",(226),"40,440",(716),"43,090",(477),"37,340",(647),"40,970",(564),"47,600",(518),"45,460",(805),"36,780","(1,665)","41,610","(1,471)","44,990","(1,109)","50,840","(1,175)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin ......................,"40,920",(486),"46,420",(512),"47,750",(713),"52,210",(873),"45,720","(1,215)","52,760","(1,630)","57,880","(1,357)","55,430",(791),‡,(†),"47,350","(1,314)","56,220","(1,001)","61,280","(1,472)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming .........................,"32,490",(371),"36,120",(497),"41,610","(1,014)","52,990",(932),"48,770","(1,509)","53,020","(1,246)","56,710","(1,401)","59,390",(817),‡,(†),‡,(†),"59,500","(1,060)","63,240","(1,781)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
†Not applicable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"‡Reporting standards not met. Data may be suppressed because the response rate is under 50 percent, there are too few cases for a reliable estimate, or the coefficient of variation (CV) is 50 percent or greater.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"\1\Teachers were asked how many school years they had worked as a teacher. They were also asked how many of their teaching years were full time and how many were part time. Throughout this table, all school years are counted, regardless of whether teachers taught full time or part time.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTE: This table includes regular full-time teachers only; it excludes other staff even when they have full-time teaching duties (regular part-time teachers, itinerant teachers, long-term substitutes, administrators, library media specialists, other professional staff, and support staff). ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, Schools and Staffing Survey (SASS), ""Public School Teacher Data File,"" 1993-94, 1999-2000, 2003-04, 2007-08, and 2011-12; and ""Public Charter School Teacher Data File,"" 1999-2000. (This table was prepared June 2018.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
